,Country Name,Year,Education Expenditure,Fertility rates,Health Expenditure,Labor Force Participation,Num of Elderly Beds,Population Growth,Tax Revenue,Teacher-Pupil Ratio,Working Age Population
0,Australia,0.0,0.8908118375254255,0.3723404255319149,0.37677401652140263,0.5778507302693286,0.1023654702379555,0.7726299495813913,0.41012040042606085,0.213559168540236,0.647222062023319
1,Australia,0.125,0.8917140565641253,0.3723404255319149,0.4016965641416576,0.5788556880611014,0.10444087708812233,0.7389673636846452,0.4047550074060203,0.21763108570608367,0.6331085440782712
2,Australia,0.25,0.7247448869455042,0.3670212765957447,0.4039162080684818,0.5698110679351468,0.10617499748700011,0.8111409657075803,0.4314774444752591,0.22078589821693517,0.6138979816010772
3,Australia,0.375,0.7407755528752678,0.33510638297872347,0.45494723440012447,0.5627763633927373,0.10721089516366401,0.8061438973448312,0.4605440781486267,0.21992096068974462,0.5937451960903415
4,Australia,0.5,0.6897349706900257,0.31914893617021284,0.5238799505973665,0.5547367010585555,0.10999897072340087,0.7596372650688159,0.4588595558308456,0.20364100795927403,0.5747778850849612
5,Australia,0.625,0.675160935297421,0.3085106382978724,0.5402191911568535,0.5647862789762829,0.11076400613713697,0.7490328480024653,0.457947332320705,0.19994409386424758,0.5558428390622518
6,Australia,0.75,0.6756999851394447,0.2765957446808511,0.5742641144927844,0.5604314618786012,0.1128839547816519,0.7738928081438147,0.4715576819625902,0.18305023881030663,0.5376359817616008
7,Australia,0.875,0.6715502206824207,0.2712765957446809,0.5847092272823151,0.5704810397963285,0.11555164711342086,0.7910882836412358,0.46559947438554167,0.16537803493043213,0.5221478632746174
8,Australia,1.0,0.6963681370255728,0.2712765957446809,0.6121852631329193,0.5858903926035104,0.11926667352851066,0.7605346873870082,0.5030694126853754,0.14487411640972336,0.508473367728793
9,Austria,0.125,0.18906019218309758,0.10638297872340424,0.4934783949347676,0.41370762427978025,0.036376801911204126,0.5257750749770693,0.5805500099472563,0.4305641504900277,0.6668564032299711
10,Austria,0.25,0.18585376461201725,0.11170212765957445,0.5322512751877146,0.42275224440573483,0.038223480628231915,0.5498516599661977,0.5977692469157154,0.4347684281006506,0.6623840232569455
11,Austria,0.375,0.18232289521096012,0.11170212765957445,0.5587693847472627,0.4281120192951896,0.03849915822027843,0.5768843550895597,0.6145328184343641,0.42921589216325656,0.6521783384897094
12,Austria,0.5,0.15226230364379717,0.12234042553191489,0.5774245369804114,0.4204073428915984,0.038749555334451694,0.6158087399804162,0.6146266310082302,0.441533827932273,0.6432982482894826
13,Austria,0.625,0.1743119317238916,0.13829787234042554,0.5940381621806256,0.4214123006833712,0.038887394130474956,0.6845707240372751,0.6286808270140865,0.42710485875351795,0.6374211063362336
14,Austria,0.75,0.18666942265547673,0.15957446808510642,0.6310601424160961,0.4378266112823261,0.0392334959108827,0.676549788673583,0.5802465275341552,0.46890070317905064,0.6296416659168406
15,Austria,0.875,0.19060411967831628,0.1542553191489362,0.653445315038633,0.4378266112823261,0.04455624033548398,0.5982013965468315,0.5803517595329218,0.4670535284824823,0.6174190923121365
16,Austria,1.0,0.18987143483546715,0.1276595744680851,0.6892951808907567,0.44318638617178063,0.04470130212518531,0.556158513052513,0.5801891391838503,0.4611970044325579,0.6046521458828285
17,Belgium,0.0,0.32525144666231626,0.33510638297872347,0.4417429336933981,0.19864665684041266,0.07902316233497717,0.6425675579061548,0.5475119623965581,0.09848413785903466,0.5325920082336301
18,Belgium,0.125,0.326613974273325,0.3085106382978724,0.4651551328840424,0.16950288087900314,0.08022940227921566,0.7210351239998771,0.563636590706115,0.11434214801728407,0.5180852399211867
19,Belgium,0.25,0.3112148059188153,0.3031914893617022,0.4905802531118728,0.17117781053195763,0.08124965013624372,0.5831186625946518,0.5941872249970798,0.11566652733241549,0.49966453822818957
20,Belgium,0.375,0.338396171846588,0.2819148936170213,0.5138976527475825,0.18156237438027606,0.0800795251603956,0.5529717529847165,0.6068106527438183,0.07095696328731832,0.4829605703284511
21,Belgium,0.5,0.3375063715776112,0.2712765957446809,0.5339988677249611,0.17988744472732135,0.08178776316526029,0.5474191825971095,0.6048718452073155,0.06463181909077431,0.46619725497683334
