Entity,Year,Female labor force participation rate,Fertility rate,Population,Child mortality rate,Females' length of education,Contraceptive prevalence,Level of Fertility
Dominican Republic,2040,44.33822580645161,4.013270967741936,7202144.806451613,8.202144566129032,11.54,56.46666666666667,High
Ecuador,2030,46.86,4.085932258064516,10679882.903225806,6.942669277419355,10.1,55.5625,High
Ecuador,2035,46.86,4.085932258064516,10679882.903225806,6.942669277419355,10.52,55.5625,High
Ecuador,2040,46.86,4.085932258064516,10679882.903225806,6.942669277419355,10.97,55.5625,High
Egypt,2030,26.752096774193546,4.610808064516129,61050300.161290325,12.154648382258065,9.07,44.375,High
Egypt,2035,26.752096774193546,4.610808064516129,61050300.161290325,12.154648382258065,9.72,44.375,High
Egypt,2040,26.752096774193546,4.610808064516129,61050300.161290325,12.154648382258065,10.29,44.375,High
El Salvador,2030,45.085,4.098077419354839,5034577.5,8.949114469354837,9.07,48.71111111111111,High
El Salvador,2035,45.085,4.098077419354839,5034577.5,8.949114469354837,9.59,48.71111111111111,High
El Salvador,2040,45.085,4.098077419354839,5034577.5,8.949114469354837,10.12,48.71111111111111,High
Estonia,2030,51.497903225806446,1.7995064516129033,1394973.4032258065,1.6871372558064517,12.32,54.02,Low
Estonia,2035,51.497903225806446,1.7995064516129033,1394973.4032258065,1.6871372558064517,12.25,54.02,Low
Estonia,2040,51.497903225806446,1.7995064516129033,1394973.4032258065,1.6871372558064517,12.2,54.02,Low
Eswatini,2030,47.901774193548384,5.098056451612903,802934.7419354839,11.19927674516129,8.02,43.94,High
Eswatini,2035,47.901774193548384,5.098056451612903,802934.7419354839,11.19927674516129,8.6,43.94,High
Eswatini,2040,47.901774193548384,5.098056451612903,802934.7419354839,11.19927674516129,9.06,43.94,High
Fiji,2030,46.104032258064514,3.690058064516129,728204.1451612903,3.784650155,12.61,35,High
Fiji,2035,46.104032258064514,3.690058064516129,728204.1451612903,3.784650155,13.01,35,High
Fiji,2040,46.104032258064514,3.690058064516129,728204.1451612903,3.784650155,13.33,35,High
Finland,2030,54.608064516129026,1.818143548387097,5002873.596774193,0.8623946735483871,11.17,74.84,Low
Finland,2035,54.608064516129026,1.818143548387097,5002873.596774193,0.8623946735483871,11.07,74.84,Low
Finland,2040,54.608064516129026,1.818143548387097,5002873.596774193,0.8623946735483871,11.01,74.84,Low
France,2030,48.08774193548387,2.044591935483871,56323197.161290325,1.1514382198387096,12.36,67,Low
France,2035,48.08774193548387,2.044591935483871,56323197.161290325,1.1514382198387096,12.5,67,Low
France,2040,48.08774193548387,2.044591935483871,56323197.161290325,1.1514382198387096,12.65,67,Low
Gabon,2030,48.89016129032258,4.781074193548387,1138983.0483870967,10.67595659516129,11.76,15.6,High
Gabon,2035,48.89016129032258,4.781074193548387,1138983.0483870967,10.67595659516129,12.12,15.6,High
